Sample_ID,Count,Image_Area_um2,Magnification_X
020724C01,383,129.241,
051623D1,358,128.828,
061623D05,144,95.535,
061623D09,5,2.497,
061623C10,176,86.551,
061623C13,14,10.29,
061623C14,4,2.031,
070823B01,104,86.784,
070823B03,28,22.848,
070823B05,29,13.097,
070823B06,16,10.822,
070823B07,22,19.119,
070823C08,100,95.83,
070823C13,16,7.8,
080823B02,5,92.286,
080823B06,2,7.84,
080823D08,207,94.627,
080823D12,5,2.619,
080823D13,19,2.567,
102723B06,97,317.914,
102723D07,53,1367.054,
110323B1,123,85.621,
111623BN11,257,95.7,
111623BN14,947,716.496,
111623CN02,498,95.703,
111623CN05,2649,6929.537,
111623DN06,33,97.635,
111623DN09,9,98.893,
111623DN10,230,4491.768,
112823BN05,148,93.701,
112823CN02,73,103.605,
112823DN08,329,93.448,
111423C1,184,95.56,
111423C2,155,96.922,
122923C09,453,562.633,
120123C04,750,113.93,
121923BN07,354,103.831,
