Feature,Status,Valid_Values,Valid_Fraction,Reason
Density_NW_um2,used,37,1.0,
Mean_Diameter_um,used,37,1.0,
CV_percent,used,37,1.0,
Merged_percent,used,37,1.0,
Foreground_Coverage_percent,used,37,1.0,
Angle_STD_deg,used,37,1.0,
Image,not used,37,1.0,identifier
Image_Area_um2,not used,37,1.0,expressed by density
Count,not used,37,1.0,expressed by density
Diameter_STD_um,not used,37,1.0,redundant with CV_percent
Mean_Angle_deg,not used,37,1.0,depends on sample rotation on the stage
Parasitic_Coverage_percent,not used,0,0.0,not measured for this image set
Merged_Count,not used,37,1.0,less comparable across samples than Merged_percent
Length_um,not used,0,0.0,not measured for this image set
Taper_Ratio,not used,0,0.0,not measured for this image set
QC_Notes,not used,0,0.0,free text
