eps,min_samples,Num_Clusters,Num_Noise,Noise_Percent,Silhouette_CorePoints
2.0,2,0,37,100.0,
2.0,3,0,37,100.0,
2.0,4,0,37,100.0,
4.0,2,0,37,100.0,
4.0,3,0,37,100.0,
4.0,4,0,37,100.0,
6.0,2,0,37,100.0,
6.0,3,0,37,100.0,
6.0,4,0,37,100.0,
8.0,2,1,35,94.6,
8.0,3,0,37,100.0,
8.0,4,0,37,100.0,
10.0,2,2,32,86.5,0.7551
10.0,3,1,34,91.9,
10.0,4,0,37,100.0,
12.0,2,2,27,73.0,0.585
12.0,3,2,27,73.0,0.585
12.0,4,1,32,86.5,
15.0,2,3,23,62.2,0.4662
15.0,3,2,25,67.6,0.4874
15.0,4,2,25,67.6,0.4874
20.0,2,4,19,51.4,0.4065
20.0,3,1,25,67.6,
20.0,4,1,25,67.6,
