Sample_ID,Cluster,PC1,PC2,Silhouette,Distance_To_Cluster_Centre,Outlier_Flag,Negative_Silhouette,Filename,Magnification_X,Pixel_Size_nm,Width_px,Height_px
020724C01,2,-8.275828162579426,2.532289524986136,0.2675,32.1051,False,False,020724C01.tif,8630.0,12.94,1024,768
051623D1,2,-12.278164209644357,0.1460280283702277,0.3053,26.5049,False,False,051623D1.tif,,,2560,2052
061623C10,2,-3.0820805620938327,4.069582302150729,0.2432,36.102,False,False,061623C10.tif,10500.0,10.63,1024,768
061623C13,1,16.790921716520053,-11.5172413420063,-0.056,43.7266,False,True,061623C13.tif,30970.0,3.605,1024,768
061623C14,1,43.48779116110426,-34.28627745560228,0.0172,63.4042,False,False,061623C14.tif,71150.0,1.569,1024,768
061623D05,2,-3.1195056237286694,2.5708828962628254,0.281,23.8881,False,False,061623D05.tif,10350.0,10.79,1024,768
061623D09,1,19.945665341953983,-17.39537612181831,-0.0286,48.7166,False,True,061623D09.tif,64500.0,1.731,1024,768
070823B01,2,2.928288584628449,-1.5996192866276149,0.1647,40.9724,False,False,070823B01.tif,10540.0,10.6,1024,768
070823B03,2,-0.8628979940629651,-5.409281093529647,0.188,18.465,False,False,070823B03.tif,20490.0,5.448,1024,768
070823B05,1,5.17621926193478,-8.982546652044404,-0.128,20.3387,False,True,070823B05.tif,27140.0,4.114,1024,768
070823B06,1,6.252987297252717,-9.861475894507963,-0.071,26.9773,False,True,070823B06.tif,29800.0,3.747,1024,768
070823B07,1,4.695405111606077,-10.363915559207364,-0.0882,27.3128,False,True,070823B07.tif,22510.0,4.961,1024,768
070823C08,2,6.093263600416899,-2.31848976829564,0.1497,43.28,False,False,070823C08.tif,10110.0,11.05,1024,768
070823C13,1,12.700755111563025,-13.717346917439382,-0.0323,22.2901,False,True,070823C13.tif,35190.0,3.173,1024,768
080823B02,1,44.541125448936434,52.384244768095755,-0.0288,74.0506,False,True,080823B02.tif,10210.0,10.93,1024,768
080823B06,1,23.48516745446619,29.30834407833925,-0.0509,67.3276,False,True,080823B06.tif,35190.0,3.173,1024,768
080823D08,2,-8.803275737201965,2.7643742439328625,0.3605,14.901,False,False,080823D08.tif,10110.0,11.05,1024,768
080823D12,1,15.805788853772082,-9.305138311609866,-0.0486,45.1674,False,True,080823D12.tif,62340.0,1.791,1024,768
080823D13,1,13.326037959714867,-11.592554231555114,-0.0619,36.1205,False,True,080823D13.tif,62340.0,1.791,1024,768
102723B06,2,-11.260927847397014,0.6063633757952003,0.2495,34.0931,False,False,102723B06.tif,5570.0,20.04,1024,768
102723D07,2,-1.7582286411491392,10.12006883352527,0.128,56.6422,False,False,102723D07.tif,2680.0,41.66,1024,768
110323B1,2,-7.653542175599827,1.972428727150024,0.2204,38.9793,False,False,110323B1.tif,10650.0,10.49,1024,768
111423C1,2,-9.364972505975734,1.8892186526960382,0.3674,14.7534,False,False,111423C1.tif,10190.0,5.478,2048,1536
111423C2,2,-9.078446063257953,3.4311002967424113,0.3552,17.1279,False,False,111423C2.tif,10090.0,5.535,2048,1536
111623BN11,2,-10.294867417558661,-0.41852809114772954,0.3431,15.339,False,False,111623BN11.tif,10050.0,5.557,2048,1536
111623BN14,2,-11.810968391409215,0.08221337440825163,0.2835,29.7006,False,False,111623BN14.tif,3660.0,15.23,2048,1536
111623CN02,2,-11.361054744348015,1.8302113778633242,0.3732,15.3148,False,False,111623CN02.tif,10050.0,5.557,2048,1536
111623CN05,2,-9.961387049520123,-2.1626160173146456,0.2171,40.5306,False,False,111623CN05.tif,1240.0,44.92,2048,1536
111623DN06,2,-7.325370227453783,8.699888925953605,0.1897,43.782,False,False,111623DN06.tif,10180.0,5.483,2048,1536
111623DN09,2,-6.628748798089565,11.332548652020604,0.1787,47.9682,False,False,111623DN09.tif,10080.0,5.541,2048,1536
111623DN10,2,-10.589056894144198,-0.7693956533205081,0.2648,31.5264,False,False,111623DN10.tif,1530.0,36.38,2048,1536
112823BN05,2,-9.682102458258425,2.906208966386033,0.3402,18.6945,False,False,112823BN05.tif,10390.0,10.74,1024,768
112823CN02,2,-10.948474192025643,3.0094575345493277,0.3467,19.7368,False,False,112823CN02.tif,10400.0,10.74,1024,768
112823DN08,2,-11.156591299311911,1.3959677707565403,0.353,18.5223,False,False,112823DN08.tif,10400.0,10.74,1024,768
120123C04,2,-12.48859535616615,-2.3853876975888655,0.1876,47.8856,False,False,120123C04.tif,9180.0,12.16,1024,768
121923BN07,2,-13.579473025396185,2.064867787727238,0.2221,41.3227,False,False,121923BN07.tif,10090.0,11.07,1024,768
122923C09,2,-13.864857527497053,-1.0311000240959973,0.1771,50.3837,False,False,122923C09.tif,4120.0,27.1,1024,768
