Sample_ID,Filename,Relative_Path,File_Size_Bytes,Width_px,Height_px,Image_Mode,Loaded_OK,Error,MD5,Magnification_X,Pixel_Size_nm
020724C01,020724C01.tif,020724C01.tif,887537,1024,768,P,True,,2b7009745b174dd9fbd5c9d1496c9a3c,8630.0,12.94
051623D1,051623D1.tif,051623D1.tif,3662506,2560,2052,L,True,,b7ee6c6befa661f03041c9c06e0103b5,,
061623C10,061623C10.tif,061623C10.tif,887537,1024,768,P,True,,77a7f2bbcb51cd04258c92330e34731c,10500.0,10.63
061623C13,061623C13.tif,061623C13.tif,887538,1024,768,P,True,,4d97381d407c186ac8ab0aeac5e52108,30970.0,3.605
061623C14,061623C14.tif,061623C14.tif,887538,1024,768,P,True,,cc78206b0465e8336b5d75b588a4bb86,71150.0,1.569
061623D05,061623D05.tif,061623D05.tif,887531,1024,768,P,True,,3c95cc5e1b75193976673de333f1d6db,10350.0,10.79
061623D09,061623D09.tif,061623D09.tif,887537,1024,768,P,True,,469af0e0e5cd937513596cb4943b8a19,64500.0,1.731
070823B01,070823B01.tif,070823B01.tif,887556,1024,768,P,True,,9245e810e9fb885fadb380584dc207b2,10540.0,10.6
070823B03,070823B03.tif,070823B03.tif,887550,1024,768,P,True,,e9fbe80af115a3177eb8a4118462107b,20490.0,5.448
070823B05,070823B05.tif,070823B05.tif,887549,1024,768,P,True,,dd99691c2f29b59f39a0f1bff3141009,27140.0,4.114
070823B06,070823B06.tif,070823B06.tif,887549,1024,768,P,True,,40d78c4858658bb352666121b7937fa1,29800.0,3.747
070823B07,070823B07.tif,070823B07.tif,887555,1024,768,P,True,,7fca0680114fc9e8df8fbb5a5a938484,22510.0,4.961
070823C08,070823C08.tif,070823C08.tif,887544,1024,768,P,True,,185580d782366ef63bc13b7ff4c80f75,10110.0,11.05
070823C13,070823C13.tif,070823C13.tif,887556,1024,768,P,True,,9e85c00fff3ff8fe36d24427c8f117bc,35190.0,3.173
080823B02,080823B02.tif,080823B02.tif,887514,1024,768,P,True,,75dc7743d890d86ff7e51cffae9a1d91,10210.0,10.93
080823B06,080823B06.tif,080823B06.tif,887525,1024,768,P,True,,f52feda80061e8fb1e2f93774cf6d2a8,35190.0,3.173
080823D08,080823D08.tif,080823D08.tif,887519,1024,768,P,True,,3d37f1669cc92608953c8c1a8cfe42bb,10110.0,11.05
080823D12,080823D12.tif,080823D12.tif,887537,1024,768,P,True,,0faec408a4677d413f62a54e0d0f8eb6,62340.0,1.791
080823D13,080823D13.tif,080823D13.tif,887532,1024,768,P,True,,ea085dc79aaf8a81577d966ecc92a0d1,62340.0,1.791
102723B06,102723B06.tif,102723B06.tif,887531,1024,768,P,True,,75a07c20a258c536c9f5c8fe2df16764,5570.0,20.04
102723D07,102723D07.tif,102723D07.tif,887537,1024,768,P,True,,83e4b5b920a9ef975df63e71f3685c33,2680.0,41.66
110323B1,110323B1.tif,110323B1.tif,887526,1024,768,P,True,,9f7a2c8535f53d23cdd18d6bf42ca633,10650.0,10.49
111423C1,111423C1.tif,111423C1.tif,3246839,2048,1536,P,True,,3a8782de31e85461f2783ce2ec4821af,10190.0,5.478
111423C2,111423C2.tif,111423C2.tif,3246840,2048,1536,P,True,,776b573f32fb8cf32212906262f945e6,10090.0,5.535
111623BN11,111623BN11.tif,111623BN11.tif,3246828,2048,1536,P,True,,09da901b787b9dcf8c622fa3ea566e04,10050.0,5.557
111623BN14,111623BN14.tif,111623BN14.tif,3246828,2048,1536,P,True,,a11b52b9b23f448cbcdb2c405596b147,3660.0,15.23
111623CN02,111623CN02.tif,111623CN02.tif,3246828,2048,1536,P,True,,c920e59914e9fe1dcfea2819a783344b,10050.0,5.557
111623CN05,111623CN05.tif,111623CN05.tif,3246828,2048,1536,P,True,,fdae5909a68c77976b6a81d154bfb0d8,1240.0,44.92
111623DN06,111623DN06.tif,111623DN06.tif,3246828,2048,1536,P,True,,4baf3607812c63a37eafaf894c89ab34,10180.0,5.483
111623DN09,111623DN09.tif,111623DN09.tif,3246833,2048,1536,P,True,,77c73ab4322119383fbdf6de416947a2,10080.0,5.541
111623DN10,111623DN10.tif,111623DN10.tif,3246833,2048,1536,P,True,,6c90915b7d99a6fd83f8be8c56810139,1530.0,36.38
112823BN05,112823BN05.tif,112823BN05.tif,887490,1024,768,P,True,,6afff0934036583e543d6c7aa48a9204,10390.0,10.74
112823CN02,112823CN02.tif,112823CN02.tif,887490,1024,768,P,True,,1ee857fdd2d503a06d47dbbea1d850ca,10400.0,10.74
112823DN08,112823DN08.tif,112823DN08.tif,887489,1024,768,P,True,,eac537a69153a685f50a80a681d2cb76,10400.0,10.74
120123C04,120123C04.tif,120123C04.tif,887549,1024,768,P,True,,3217abe06b1e8144413c395b8c1bcc05,9180.0,12.16
121923BN07,121923BN07.tif,121923BN07.tif,887646,1024,768,P,True,,b6387ed5bd01c992d3210d5f67aaf957,10090.0,11.07
122923C09,122923C09.tif,122923C09.tif,887502,1024,768,P,True,,6b79bbc4a48696b3027ae543d27f8b1a,4120.0,27.1
