Component,Explained_Variance_Percent,Cumulative_Variance_Percent,Retained_For_Clustering
PC1,10.8085,10.8085,True
PC2,8.5148,19.3233,True
PC3,7.339,26.6623,True
PC4,6.5547,33.217,True
PC5,5.6467,38.8637,True
PC6,4.9937,43.8574,True
PC7,4.4979,48.3553,True
PC8,4.182,52.5373,True
PC9,3.9011,56.4383,True
PC10,3.5399,59.9783,True
PC11,2.9926,62.9708,True
PC12,2.9286,65.8994,True
PC13,2.679,68.5784,True
PC14,2.5763,71.1547,True
PC15,2.2616,73.4163,True
PC16,2.0571,75.4733,True
PC17,1.9881,77.4614,True
PC18,1.9064,79.3678,True
PC19,1.8443,81.2121,True
PC20,1.7805,82.9926,False
PC21,1.6849,84.6776,False
PC22,1.6491,86.3266,False
PC23,1.6174,87.944,False
PC24,1.3341,89.2781,False
PC25,1.3071,90.5852,False
PC26,1.2069,91.792,False
PC27,1.137,92.929,False
PC28,1.0603,93.9893,False
PC29,1.0438,95.0331,False
PC30,1.0233,96.0564,False
PC31,0.8741,96.9305,False
PC32,0.7494,97.6798,False
PC33,0.6845,98.3643,False
PC34,0.6396,99.0039,False
PC35,0.5324,99.5363,False
PC36,0.4637,100.0,False
