Sample_ID,UMAP1,UMAP2
020724C01,15.649431,-5.3879833
051623D1,15.527105,-5.756745
061623C10,17.789783,-4.827241
061623C13,19.30644,-5.524248
061623C14,19.343166,-6.0875297
061623D05,17.88381,-5.2615266
061623D09,19.196852,-6.7369223
070823B01,17.564657,-5.122744
070823B03,18.330153,-5.962385
070823B05,19.466688,-6.456431
070823B06,19.787497,-6.2737565
070823B07,19.733541,-5.922486
070823C08,18.240387,-4.847494
070823C13,19.115166,-5.60274
080823B02,16.607924,-5.546664
080823B06,17.688568,-6.0102987
080823D08,16.366747,-5.2293797
080823D12,18.610329,-6.327979
080823D13,18.849716,-5.2768564
102723B06,17.474693,-7.161521
102723D07,17.226057,-6.238776
110323B1,16.187323,-6.7660418
111423C1,16.839272,-6.1922736
111423C2,16.176203,-5.790054
111623BN11,17.199543,-6.732873
111623BN14,17.297894,-7.4446697
111623CN02,15.826236,-6.065773
111623CN05,16.757257,-7.829836
111623DN06,16.804739,-4.8893113
111623DN09,16.93833,-4.59726
111623DN10,17.089695,-7.9014707
112823BN05,16.72854,-7.2898054
112823CN02,16.907543,-7.0202103
112823DN08,16.252886,-6.569269
120123C04,15.24776,-5.9600134
121923BN07,16.21133,-6.201702
122923C09,16.471405,-7.171328
