Sample_ID,Zoom_Factor,Embedding_Distance_From_Original
020724C01,1.4,0.39424015831115194
020724C01,2.0,0.6259525583654546
020724C01,2.8,0.8817989529026117
020724C01,4.0,0.9940571861490592
061623C10,1.4,0.5304227241313826
061623C10,2.0,0.8790814755905776
061623C10,2.8,0.9787385420362449
061623C10,4.0,1.0424808554704288
061623D05,1.4,0.4541044170322578
061623D05,2.0,0.8762763592205205
061623D05,2.8,1.014168682846262
061623D05,4.0,1.0282343151675737
070823B01,1.4,0.6637431650960302
070823B01,2.0,0.8618536873150654
070823B01,2.8,0.9956701742905987
070823B01,4.0,1.0158952639215741
070823C08,1.4,0.6122974306079579
070823C08,2.0,0.8041423091562336
070823C08,2.8,0.8200764452654866
070823C08,4.0,0.8676041472307304
080823B02,1.4,0.6046740696124497
080823B02,2.0,0.7347124803166685
080823B02,2.8,0.8607219173019731
080823B02,4.0,1.0539153897625455
080823D08,1.4,0.37376040745978034
080823D08,2.0,0.6629830127735481
080823D08,2.8,0.8869522360514234
080823D08,4.0,1.09091987734318
102723B06,1.4,0.500048882907573
102723B06,2.0,0.7958990936053888
102723B06,2.8,0.9277669834896513
102723B06,4.0,1.0741464384778425
110323B1,1.4,0.7148992557686762
110323B1,2.0,0.9052566722673189
110323B1,2.8,1.0333117307389572
110323B1,4.0,1.1177643343370431
111423C1,1.4,0.4525943047067515
111423C1,2.0,0.7363389576939152
111423C1,2.8,0.9468730426263319
111423C1,4.0,1.0188095320946162
111423C2,1.4,0.47869532929990377
111423C2,2.0,0.8068266706608616
111423C2,2.8,0.8768098265205403
111423C2,4.0,1.0738675519520773
111623BN11,1.4,0.36816918655105796
111623BN11,2.0,0.6998111802291261
111623BN11,2.8,0.9204395485794391
111623BN11,4.0,1.1539643171056617
111623CN02,1.4,0.4118968152798556
111623CN02,2.0,0.6673647822343035
111623CN02,2.8,0.8593687765795903
111623CN02,4.0,1.0185844574611922
111623DN06,1.4,0.7005514862488705
111623DN06,2.0,1.03444177182438
111623DN06,2.8,1.1015501135126204
111623DN06,4.0,1.1056385190990337
111623DN09,1.4,0.563316622109933
111623DN09,2.0,0.925027619503965
111623DN09,2.8,1.0189133657513023
111623DN09,4.0,1.077927545960736
112823BN05,1.4,0.4787352888161275
112823BN05,2.0,0.8116135834583857
112823BN05,2.8,1.1304299648201763
112823BN05,4.0,1.2722329054421129
112823CN02,1.4,0.5297746824178053
112823CN02,2.0,0.7736578865222065
112823CN02,2.8,0.9498525246115628
112823CN02,4.0,1.0595580348965437
112823DN08,1.4,0.5198589087643988
112823DN08,2.0,0.8306959302807452
112823DN08,2.8,0.9861109255229609
112823DN08,4.0,1.0557028707262264
120123C04,1.4,0.5079227503306497
120123C04,2.0,0.7493650367548618
120123C04,2.8,1.0060544239320803
120123C04,4.0,1.1901264283003539
121923BN07,1.4,0.49444080133489443
121923BN07,2.0,0.7833422390603205
121923BN07,2.8,0.8727959222785887
121923BN07,4.0,0.994950352029718
